Unnamed: 0,Unnamed: 1,Kode,Mata Kuliah,SKS,No Kelas,Kuota,Dosen,Keterangan & Batasan,Jadwal (Hari / Tanggal / Waktu / Ruang / Kegiatan / Metode)
,1,WF1124,Rupa Dasar Tiga Dimensi,3,1,5,Intan Prameswari,"kelas ini akan ditutup, jika peserta kurang dari 5 mhs  Batasan:  FSRD",Edunex  -  MS TeamsBelum ada
,2,WF1201,Kreativitas Manusia,2,1,70,Ifa Safira Mustikadara,FSRD 2025 Prodi 174 Ganesha  Batasan:  FSRD,Edunex  -  MS Teams  Jumat  /  13 Feb 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  20 Feb 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  27 Feb 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Tampilkan semua  Jumat  /  6 Mar 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  13 Mar 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  20 Mar 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  27 Mar 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  3 Apr 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  17 Apr 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  24 Apr 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  1 Mei 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  8 Mei 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  15 Mei 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  22 Mei 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  29 Mei 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka Jumat  /  5 Jun 2026  /  09.00  -  10.50  /  K2.9657  /  Kuliah /  Tatap Muka
,3,WF1201,Kreativitas Manusia,2,2,70,Irma Damajanti,FSRD 2025 Prodi 170 Ganesha  Batasan:  FSRD,Edunex  -  MS Teams  Jumat  /  13 Feb 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Tatap Muka Jumat  /  20 Feb 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Tatap Muka Jumat  /  27 Feb 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Tatap Muka Tampilkan semua  Jumat  /  6 Mar 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Tatap Muka Jumat  /  27 Mar 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Online / E-Learning Jumat  /  10 Apr 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Tatap Muka Jumat  /  17 Apr 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Tatap Muka Jumat  /  24 Apr 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Tatap Muka Jumat  /  8 Mei 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Online / E-Learning Jumat  /  15 Mei 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Tatap Muka Jumat  /  22 Mei 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Tatap Muka Jumat  /  29 Mei 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Online / E-Learning Jumat  /  5 Jun 2026  /  09.00  -  10.50  /  K3 302B  /  Kuliah /  Tatap Muka
,4,WF1201,Kreativitas Manusia,2,3,70,Muhammad Ihsan D.R.S.A.S.,FSRD 2025 Prodi 175 Ganesha  Batasan:  FSRD,Edunex  -  MS Teams  Jumat  /  13 Feb 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  20 Feb 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  27 Feb 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Tampilkan semua  Jumat  /  6 Mar 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  13 Mar 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  20 Mar 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  27 Mar 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  3 Apr 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  17 Apr 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  24 Apr 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  1 Mei 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  8 Mei 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  15 Mei 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  22 Mei 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  29 Mei 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka Jumat  /  5 Jun 2026  /  09.00  -  10.50  /  A2. 9608  /  Kuliah /  Tatap Muka
,5,WF1201,Kreativitas Manusia,2,4,70,Lies Neni Budiarti,FSRD 2025 Prodi 172 Ganesha  Batasan:  FSRD,Edunex  -  MS Teams  Jumat  /  13 Feb 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  20 Feb 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  27 Feb 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Tampilkan semua  Jumat  /  6 Mar 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  13 Mar 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  20 Mar 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  27 Mar 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  3 Apr 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  17 Apr 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  24 Apr 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  1 Mei 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  8 Mei 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  15 Mei 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  22 Mei 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  29 Mei 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  5 Jun 2026  /  09.00  -  10.50  /  R U3 05  /  Kuliah /  Tatap Muka Jumat  /  12 Jun 2026  /  09.00  -  11.00  /  -  /  Kuliah /  Tatap Muka
,6,WF1201,Kreativitas Manusia,2,5,70,Yuni Maharani,FSRD 2025 Prodi 173 - kls 5 ini ruangnya gabung dgn kls 4 di U-305 (gd.utama lt.3)  Batasan:  FSRD,Edunex  -  MS Teams  Jumat  /  13 Feb 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  20 Feb 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  27 Feb 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Jumat  /  6 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  13 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  20 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  27 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  3 Apr 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  17 Apr 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  24 Apr 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  1 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  8 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  15 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  22 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  29 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  5 Jun 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  12 Jun 2026  /  09.00  -  11.00  /  -  /  Kuliah /  Tatap Muka
,7,WF1201,Kreativitas Manusia,2,6,70,Ifa Safira Mustikadara,FSRD 2025 Prodi 174 Jatinangor - Ruangan di K2. 9657 sama dengan kelas 1  Batasan:  FSRD,Edunex  -  MS Teams  Jumat  /  13 Feb 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  20 Feb 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  27 Feb 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Jumat  /  6 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  13 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  20 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  27 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  3 Apr 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  17 Apr 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  24 Apr 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  1 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  8 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  15 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  22 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  29 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  5 Jun 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka
,8,WF1201,Kreativitas Manusia,2,7,70,Muhammad Ihsan D.R.S.A.S.,FSRD 2025 Prodi 175 Cirebon - Ruangan di A2 9608 sama dengan kelas 3  Batasan:  FSRD,Edunex  -  MS Teams  Jumat  /  13 Feb 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  20 Feb 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  27 Feb 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Jumat  /  6 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  13 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  20 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  27 Mar 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  3 Apr 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  17 Apr 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  24 Apr 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  1 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  8 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  15 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  22 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  29 Mei 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  5 Jun 2026  /  09.00  -  10.50  /  -  /  Kuliah /  Tatap Muka
,9,WF1201,Kreativitas Manusia,2,8,70,Hatif Adiar Almantara,FSRD 2025 Prodi 172 Cirebon  Batasan:  FSRD,Edunex  -  MS Teams  Jumat  /  13 Feb 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  20 Feb 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  27 Feb 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Tampilkan semua  Jumat  /  6 Mar 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  13 Mar 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  20 Mar 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  27 Mar 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  3 Apr 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  10 Apr 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  24 Apr 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  1 Mei 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  8 Mei 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  15 Mei 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  22 Mei 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  29 Mei 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka Jumat  /  5 Jun 2026  /  09.00  -  10.50  /  K3 304A  /  Kuliah /  Tatap Muka
,10,WF1201,Kreativitas Manusia,2,9,40,Kiki Rizky Soetisna Putri,International Track  Batasan:  FSRD,Edunex  -  MS Teams  Jumat  /  13 Feb 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  20 Feb 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  27 Feb 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Tampilkan semua  Jumat  /  6 Mar 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  13 Mar 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  20 Mar 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  27 Mar 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  3 Apr 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  10 Apr 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  17 Apr 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  24 Apr 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  1 Mei 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  8 Mei 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  15 Mei 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  22 Mei 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  29 Mei 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka Jumat  /  5 Jun 2026  /  09.00  -  10.50  /  K3 304B  /  Kuliah /  Tatap Muka
